dataset,dataset_label,model,model_short,fingerprint,inner_ood,inner_random,delta_inner_optimism,test_ood,test_random,delta_test_benefit,gap_ood,gap_random,delta_gap,train_gap_ood,train_gap_random,model_order,fingerprint_order,dataset_order
drd2,DRD2,Decision Tree,DT,ECFP4,0.7641779627552131,0.8702988523271596,0.10612088957194654,0.7164,0.7115,0.0049000000000000155,0.04777796275521314,0.15879885232715976,0.11102088957194661,0.13363333333333335,0.18620000000000003,0,0,0
drd2,DRD2,Decision Tree,DT,MACCS,0.7683902232492948,0.864691589489632,0.09630136624033714,0.6802,0.7047333333333334,-0.024533333333333407,0.08819022324929493,0.15995825615629866,0.07176803290700373,0.18633333333333335,0.23586666666666667,0,1,0
drd2,DRD2,Logistic Regression,LR,ECFP4,0.7514395197359262,0.9104849643789777,0.1590454446430516,0.7572000000000001,0.7676666666666666,-0.010466666666666513,-0.005760480264073831,0.14281829771231103,0.14857877797638486,0.18686666666666665,0.21223333333333336,1,0,0
drd2,DRD2,Logistic Regression,LR,MACCS,0.7377439124235269,0.8572325100570183,0.1194885976334914,0.7460666666666667,0.7414333333333333,0.004633333333333378,-0.00832275424313981,0.11579917672368496,0.12412193096682478,0.16190000000000002,0.16743333333333335,1,1,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,0.7642563961178249,0.8708588837506156,0.10660248763279068,0.7882666666666666,0.7874333333333333,0.0008333333333332416,-0.02401027054884175,0.08342555041728228,0.10743582096612403,0.11706666666666665,0.1405666666666667,1,2,0
drd2,DRD2,Linear SVM,SVM,ECFP4,0.7376815508338447,0.9056105983946751,0.16792904756083038,0.7532333333333333,0.7677999999999999,-0.014566666666666617,-0.015551782499488557,0.1378105983946751,0.15336238089416365,0.18990000000000004,0.2098,2,0,0
drd2,DRD2,Linear SVM,SVM,MACCS,0.7458904485088079,0.8531144542868212,0.10722400577801328,0.7393666666666667,0.7417666666666666,-0.0023999999999998467,0.006523781842141234,0.11134778762015447,0.10482400577801324,0.1592333333333333,0.16279999999999997,2,1,0
hiv,HIV,Decision Tree,DT,ECFP4,0.09432122894367416,0.30723503529600277,0.2129138063523286,0.04666666666666667,0.05593333333333333,-0.00926666666666666,0.04765456227700748,0.2513017019626695,0.203647139685662,0.2523,0.35336666666666666,0,0,1
hiv,HIV,Decision Tree,DT,MACCS,0.1794338220699275,0.30183850737232626,0.12240468530239876,0.07776666666666666,0.06233333333333333,0.015433333333333334,0.10166715540326084,0.23950517403899294,0.13783801863573208,0.2668,0.45216666666666666,0,1,1
hiv,HIV,Logistic Regression,LR,ECFP4,0.12846400696859225,0.40948726909708016,0.28102326212848794,0.057666666666666665,0.07136666666666668,-0.01370000000000001,0.07079734030192558,0.33812060243041353,0.26732326212848795,0.39576666666666666,0.5283666666666667,1,0,1
hiv,HIV,Logistic Regression,LR,MACCS,0.17530824783159482,0.3072114618080785,0.1319032139764837,0.11286666666666667,0.09976666666666667,0.0131,0.06244158116492815,0.20744479514141181,0.14500321397648366,0.11526666666666667,0.2631333333333334,1,1,1
hiv,HIV,Logistic Regression,LR,RDKit desc,0.17206213677547053,0.3502056893028582,0.1781435525273877,0.08850000000000001,0.11376666666666667,-0.02526666666666666,0.08356213677547049,0.23643902263619157,0.15287688586072107,0.3353333333333333,0.31826666666666664,1,2,1
hiv,HIV,Linear SVM,SVM,ECFP4,0.09821349546275825,0.3739949667159894,0.27578147125323116,0.053233333333333334,0.05776666666666667,-0.004533333333333334,0.044980162129424905,0.31622830004932273,0.2712481379198978,0.5505666666666668,0.5297666666666667,2,0,1
hiv,HIV,Linear SVM,SVM,MACCS,0.1629549439230761,0.2321095378934772,0.06915459397040111,0.10343333333333334,0.10373333333333334,-0.0003000000000000086,0.05952161058974276,0.12837620456014384,0.06885459397040108,0.14253333333333332,0.14956666666666665,2,1,1
kdr,KDR,Decision Tree,DT,ECFP4,0.8502903680806804,0.7460878560579137,-0.10420251202276665,0.9423,0.6122333333333333,0.33006666666666673,-0.09200963191931966,0.13385452272458043,0.22586415464390008,-0.10123333333333336,0.22493333333333335,0,0,2
kdr,KDR,Decision Tree,DT,MACCS,0.8503250306969142,0.7299619601678158,-0.12036307052909845,0.9456333333333333,0.6199333333333333,0.3257,-0.09530830263641905,0.11002862683448252,0.20533692947090157,-0.09443333333333333,0.1789333333333333,0,1,2
kdr,KDR,Logistic Regression,LR,ECFP4,0.8676427568614616,0.7559419765905334,-0.11170078027092822,0.9563,0.6469,0.3094,-0.08865724313853829,0.10904197659053345,0.19769921972907173,-0.08649999999999998,0.3052,1,0,2
kdr,KDR,Logistic Regression,LR,MACCS,0.7872918971419732,0.7204386671230362,-0.06685323001893706,0.8431000000000001,0.6046,0.23850000000000005,-0.05580810285802673,0.11583866712303618,0.17164676998106293,-0.14693333333333333,0.1602666666666667,1,1,2
kdr,KDR,Logistic Regression,LR,RDKit desc,0.8073194665704545,0.7521243348694228,-0.05519513170103174,0.8775666666666666,0.6389333333333334,0.23863333333333325,-0.07024720009621221,0.11319100153608935,0.18343820163230157,-0.1439666666666667,0.2769333333333333,1,2,2
kdr,KDR,Linear SVM,SVM,ECFP4,0.8681657373558181,0.7422082530287448,-0.12595748432707332,0.9440333333333334,0.6005,0.34353333333333336,-0.0758675959775152,0.14170825302874482,0.21757584900626004,-0.09273333333333329,0.26626666666666665,2,0,2
kdr,KDR,Linear SVM,SVM,MACCS,0.7848945056237332,0.7180280470193744,-0.0668664586043588,0.8339,0.5977333333333333,0.23616666666666664,-0.04900549437626667,0.12029471368604099,0.16930020806230767,-0.11896666666666667,0.1587333333333333,2,1,2
sol,Sol,Decision Tree,DT,ECFP4,0.3803910816969205,0.38297416974603643,0.0025830880491159447,0.3037666666666667,0.30346666666666666,0.00030000000000002247,0.07662441503025384,0.07950750307936975,0.0028830880491159117,0.3751333333333333,0.41473333333333334,0,0,3
sol,Sol,Decision Tree,DT,MACCS,0.38949512879636344,0.4434047981212328,0.05390966932486935,0.33263333333333334,0.3158,0.01683333333333331,0.05686179546303013,0.12760479812123274,0.0707430026582026,0.16316666666666668,0.309,0,1,3
sol,Sol,Logistic Regression,LR,ECFP4,0.5024492645145852,0.5813572884259328,0.07890802391134766,0.4777666666666667,0.4915333333333333,-0.01376666666666665,0.02468259784791847,0.0898239550925995,0.06514135724468102,0.35259999999999997,0.37989999999999996,1,0,3
sol,Sol,Logistic Regression,LR,MACCS,0.4868473931349176,0.5368225365867966,0.04997514345187898,0.4767666666666667,0.47866666666666663,-0.0018999999999999018,0.010080726468250941,0.05815586992012994,0.048075143451879,0.18503333333333336,0.1694,1,1,3
sol,Sol,Logistic Regression,LR,RDKit desc,0.5822027747659496,0.6196709384039546,0.03746816363800498,0.5907666666666667,0.5876333333333333,0.0031333333333333213,-0.008563891900717121,0.03203760507062133,0.040601496971338455,0.14493333333333333,0.15053333333333338,1,2,3
sol,Sol,Linear SVM,SVM,ECFP4,0.4794280382044879,0.5719940108472122,0.09256597264272431,0.49676666666666663,0.5004333333333334,-0.0036666666666667624,-0.017338628462178762,0.071560677513879,0.08889930597605776,0.26143333333333335,0.27640000000000003,2,0,3
sol,Sol,Linear SVM,SVM,MACCS,0.4813716148923675,0.5135364972721698,0.03216488237980225,0.4755666666666667,0.4753,0.0002666666666666928,0.005804948225700842,0.03823649727216969,0.03243154904646885,0.15376666666666666,0.14123333333333335,2,1,3
